-18:46,しゅさいがわ！
-18:33,固定ｗ
-18:30,草
-18:17,そっちになるんかｗ
-17:54,固定がw
-17:47,固定ㅋㅋㅋㅋㅋㅋ
-17:07,やっつける方じゃないだと！？だが、それでいい！
-16:15,そっちか！
-14:14,なるほど
-11:49,{'text': "isn't this too op"}
-3:34,3 min delay/3분 지연 /3分遅延有
-0:21,こんばんは～
-0:04,本配信はじまった～！
0:11,本配信開始〜
0:28,こんボラ〜
0:30,こんボラ！
0:42,こんぼら！！
0:43,こんぼら
0:44,こんボラ～
0:45,helloo ! !
0:50,まるで初めましてみたいだ
0:50,初コラボ！
0:58,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1:00,こんぼら〜
1:04,こんボラ～
1:06,それよねｗ
1:06,こんボラー
1:07,GOOD LUCK GUYS ! ! !
1:07,戦場でしか絡みないのよねw
1:08,初めましてなんだ〜w
1:12,そこ初めましてなんやぁ
1:29,ノアぼらてえてえ
1:33,かわいい
1:33,ＢＧＭちょっと変わった！？
1:34,初めましてだったから楽しみだね～
1:36,こんぼらー！！！
1:43,下の名前よび裏山
2:23,おめでとう！！
2:26,こんぼらー！
2:32,かわいい
2:33,渋ハル3周年おめでとう！
2:36,Vとしても古参だね
2:36,渋ハルの兄貴！
2:49,3周年めでたいね〜
2:50,こんボラ～
2:51,こんぼらーーー！！
2:56,ほえー
2:56,視聴者参加型なんだ
3:07,名前ヌンボラになってて草
3:07,へーそうなんだ
3:27,カスタム追加されたんだ
3:28,CSとのクロスでカスタム出来るかどうかだね
3:45,稼げなくなった
3:49,あい〜
3:51,あぃ～
4:02,今日は賞金防衛側
4:07,Hello Bora
4:08,ボラちゃん商品もらえないの?w
4:09,そっか開催者側になるのか
4:17,今回は賞金なしだねｗ
4:24,キャリーされてたww
4:29,今週はもらえないｗ
4:37,超豪華な一戦ｗ
4:42,そうだ賞金もらえんのかーｗ
4:53,渋ハルカスタムが視聴者参加型の事前応募ってはじめて知ったわww
4:56,hihi
4:58,今回は防衛側
5:01,桐ケ谷カミトだ
5:07,今日もしかしてゲスト多い！
5:09,カミトさんww名前w
5:14,がんばってねー
5:22,カミトさんｗ
5:25,ゲスト多いですねぇ
5:27,名前が大人しくなっておる
5:36,カミトさん草
5:41,初めてだねえ
5:46,のあボラてぇてぇ
5:54,ゲスト多いの楽しいな
5:56,こんボラ〜
6:03,半分以上ゲストなんだ
6:07,{'text': "tourney is all over the place I can't remember which team and squad is for what tourney"}
6:07,唯一残った七武海おるな
6:19,12までゲストかな？
6:23,マイクでマウントとるのかｗ
6:32,ㅋㅋㅋㅋㅋㅋㅋ
6:32,ディスコ相性がｗ
6:44,怒ってて草
6:44,草
6:45,チーム2きをつけなきゃ
6:46,비싼편
6:52,高級糸電話
6:56,３０万！？
7:00,ノイマンだ
7:00,たっかぁw
7:01,３０万！？
7:03,30万!?
7:03,わやw
7:07,30やば
7:09,いや…ｗ
7:09,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
7:09,30万？？？
7:11,草
7:11,タカスギィ！！
7:11,めちゃ良い奴じゃん
7:13,渋ハルの声は30万かぁ
7:13,오
7:14,どっちの大丈夫ｗ
7:14,草
7:16,扱いよw
7:16,草
7:24,草
7:26,ＰＣ買えて草
7:28,30万の声
7:31,DM58 많이내렸네
7:34,🤣🤣🤣
7:35,女子・・・？
7:36,女子（）
7:36,女子？
7:36,what tourney/scrim is this?
7:40,草
7:44,oh they are not gonna play?
7:48,レイドくんはメス
7:50,マスター女子一人しかおらん
7:54,あきこちゃんは女子
7:57,こんぼら
8:00,アキ子とレイ子かな？
8:05,{'text': "shibuya's tourney i think?"}
8:12,あれおもろかったw
8:15,ㅋㅋㅋㅋㅋㅋㅋㅋ
8:15,レイドくん…
8:16,ハンマーチャレンジになった配信かｗｗ
8:22,草
8:34,レイドくんは男の娘()
8:34,shibuhal custom weekly tourney
8:35,shibuyahal custom yes
8:38,{'text': "shibuya hal's custom gameit's a weekly casual event"}
8:41,渋ハルキッズｗ
8:47,ㅋㅋㅋㅋㅋㅋ
8:48,クソガキで草
8:52,ボラちゃんが言う？
8:59,草
9:06,wow weekly tourney...
9:08,こんぼらー
9:24,hello!
9:30,ふぇえー
9:36,ボラちゃーん
10:21,ganbatte
10:30,Vも広がってるなぁ
10:35,いい事だ
10:35,柴犬はかわいいねぇ
10:37,山下ァは偉大
10:38,だいぶ交流広がってきたよね
10:48,いろんな人とVの人が絡んでるの見てて楽しい
10:55,それは渋はるが広めたんだと思うよこのりがいたからね
11:00,とがりまくってんなぁｗ
11:01,!!
11:02,尖ってんなぁww
11:02,Vと料理人のコラボに進んだしな…
11:03,愛が強いな～ｗ
11:03,ヤバいｗ
11:04,色んな意味でやばい
11:04,キャラ専の集まりかｗ
11:05,こんにちは
11:06,ヤバすぎる構成
11:07,キャラだけみたらなかなかの糞構成ｗ
11:08,おお〜
11:10,構成すげぇ
11:10,ミラ、ロバ、ランパか
11:13,武器構成も尖ってるからなぁ
11:15,女性Vと男性配信者が絡むと炎上するのが減ったからかな？
11:15,尖ってる編成w
11:15,推しレジェパーティ
11:17,とがり過ぎて人を刺せそう
11:18,最強構成きたわね
11:19,キャラ愛凄そう
11:20,w
11:25,武器専の人
11:27,Lスター専のイメージしかないw
11:28,Lスターのためのランパ
11:38,L star 😭
11:39,ｳﾝｳﾝ
11:39,世界ランカーのローバやからｗ
11:43,ああハマポ信者…
11:44,Ｌスターに期待されすぎて正直しんどそう
11:53,草
11:53,にじさんじじゃねぇか！
11:56,出たこの形w
11:57,えるえるいないんよｗ
12:03,하루군이 제일 고통받는ㅋㅋㅋㅋ
12:05,草
12:05,こんボラ〜！！
12:06,🤣🤣🤣
12:08,会話形式ｗ
12:08,間接的に被害受けるｗ
12:16,合法的に読み上げさせれるからかww
12:19,渋ハルがダメージ受けてく
12:43,ホッコリ・ニッコリ
12:43,こんにちボラボラ
12:44,V協のときに代理でカスタム出たくらいだね
12:45,これにはヌンボラもニッコリ
12:47,ふふんｗ
12:49,😊
12:51,( ◜ᴗ◝)و
12:53,これにはヌン・ボラにっこにこ
12:57,にっこり
12:59,レギュラーとしてはありがたいねｗ
13:05,今回ちーちゃんもいるしね
13:07,분위기...? ㅋㅋㅋㅋ
13:10,あぁかみとさんか
13:14,べに様もカスタムに
13:23,無事ｗ
13:26,ブイスポの陽の者
13:31,めっちゃうまいよな
13:31,ヴァロラント上手だよね
13:34,笑笑(*^^*)
13:41,期待の新人
13:49,イキんなｗ
14:06,猛者は忙しい法則
14:10,テンプレックスさんか
14:13,テンちゃん残念だね
14:19,いずれにしても強いんだよなぁ
14:26,かわいいｗ
14:33,くーちゃんもマスターなんよ
14:36,Tempplexは見たかったｗ
14:37,あれるさんww
14:43,おにいちゃんが絶頂しすぎた
14:47,くぅちゃんも普通につよいんよ
14:53,言いにくいｗ
14:53,噛みそうw
14:54,ややこしいなw
14:56,うるれるは強いんよ
14:56,なにがなにやらｗ
14:57,うるうるれる
14:59,ㅋㅋㅋㅋㅋㅋㅋ
15:00,wow that team looks strong
15:00,ここ強いな～
15:04,げきあつ
15:07,さすがに強すぎるｗ
15:11,草
15:14,ブロンズPAD部w
15:17,ブロンズPAD部ｗ
15:19,さすがにねｗ
15:19,ブロンズpad部！？
15:20,煽るｗ
15:21,まさかねぇ(棒)
15:22,強いなぁ
15:24,さすがにね？
15:37,草
15:37,ヴァロが侵食しとるｗ
15:38,ブロンズパッド部ほんまおもろい
15:38,ヴァロｗ
15:39,CRカップのメンツかな
15:39,ヴァロヴァロしてきたわね
15:40,語尾ｗ
15:45,どっちなのよw
15:46,CRメンバーか
15:48,あれ？侵されてないヴァロか？
15:49,ヴァロｗｗ
15:53,ヴァロラントに浸食されとるｗ
15:54,CRカップ感あるｗ
15:55,Crカップのチームだね
15:58,異色だ
15:59,CRメンバーだ
16:06,ウォッカさんのヴァルキリーやべぇよww
16:08,CRカップの練習しに来てる笑笑
16:13,わや
16:15,さすがCR
16:20,世界四位はだてじゃない
16:26,마법소녀 츠바키...
16:29,遂にちーさんがカスタムに
16:29,魔法少女3人…？？
16:32,魔法少女一人しかおらんがｗ
16:34,少女...？
16:44,そらるさんがそれ言うの想像したら笑える
16:44,少女ですらない
16:46,ゲスト多いなぁ
16:50,아 아직없구나
16:59,今見たらウォッカさん6000出してたわ
17:00,少女・・・？
17:02,直球ｗ
17:02,ㅋㅋㅋㅋㅋㅋㅋㅋ
17:11,ㅋㅋㅋㅋ
17:13,名前ｗ
17:14,レイスの天罰が下るチームだなww
17:16,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
17:16,恨み買ってんなぁｗ
17:16,草
17:20,ハゲレイス
17:26,よりによってちーさんの後になんてチーム名だw
17:29,ㅋㅋㅋㅋㅋㅋㅋ
17:29,修羅場の数が違うか…
17:30,草
17:35,さすレイド
17:35,草
17:36,草
17:37,やめてｗ
17:39,草
17:40,レイド君のボイスｗｗ
17:41,レイドくんなのかよｗ
17:44,草
17:45,レイド君ｗ
17:48,キツｗ
17:48,아니 ㅋㅋㅋㅋㅋㅋㅋ
17:50,センス完璧かよww
17:54,読むのもきつそうｗ
18:03,ㅋㅋㅋㅋㅋㅋㅋㅋ
18:04,OMG
18:05,OMGｗｗ
18:06,草
18:06,OMG
18:06,OMG
18:06,OMG
18:06,監禁ボイスオススメだよ（メンバー限定）
18:06,聞けるんかいｗ
18:07,omg
18:07,omg
18:08,OMG
18:08,キモオタボイスからイケボまで幅広い
18:10,omg
18:10,OMG
18:12,OMG…
18:13,OMG
18:16,レイドくんのボイスはまじらしい
18:16,オーマイガーw
18:19,おーまいがー
18:22,監禁ボイスおすすめよ
18:23,買えたら買うわ
18:23,omg lol
18:23,メンバー入っちゃう？ｗｗ
18:26,オーマイガー
18:27,ㅋㅋㅋㅋㅋㅋ
18:27,草
18:29,omg
18:33,OMG
18:33,トワ様に影響されてて草
18:35,それは確かに危ないｗ
18:36,やめとけやめとけw
18:45,ふっか
18:50,かっけぇ...
18:52,とあるかた曰く震えたらしい
18:52,長いｗ
18:55,ふっか
18:56,かっけぇ
18:58,さすまな
19:03,全部引用で草だ
19:06,아역 배우?
19:10,かっけえ
19:10,앗
19:11,高2
19:12,もう高校生！？
19:21,愛菜ちゃん頭いいからな～
19:21, 16か17歳くらいだったかな
19:22,まるまるもりもり
19:22,そんな年なんだ
19:24,高校生だね
19:24,もう高校生だもんね愛菜ちゃん
19:25,深いこと言ってるんだなぁ
19:27,아역으로 유명한 아시다 마나
19:29,もう大人の女性
19:29,まるもりのイメージしかない
19:30,１０歳でそれは悟りすぎなんよｗ
19:31,もう高なの！？
19:32,벌써 고딩이라니.
19:36,아재 운다
19:36,高校生なんか!?!?
19:40,わりと最近だったよね
19:42,!
19:42,あっ...
19:43,！？
19:43,え！？
19:44,まるまるもりもりが懐かしい
19:45,벌써 고딩이야!!
19:48,触れにくいｗ
19:48,何が…あった？？
19:50,え？！
19:52,え・・・
19:52,草
19:53,!?
19:53,ツッコめんわww
19:53,重くて草
19:55,はっ！？
19:55,あっ‥
19:56,どまです
19:56,どまですｗ
20:00,あ（察し
20:09,草
20:17,液タブｗ
20:20,やれとｗ
20:26,あど〇んですぅー
20:30,液タブかぁ。PSPでやってる人もおるしなぁ
20:40,ランク高いねここ
20:40,ボラちゃんディスコの声変になってる
20:41,おじいちゃんみたいな事いっとる
20:43,何千円とかでも買えるのあるよね
20:44,^^
20:47,＾＾
20:50,＾＾
20:51,＾＾
20:52,^^
20:55,^^
20:56,北条政子ゴミカス扱いで草
20:57,煽りかな？
20:59,＾＾
20:59,＾＾
21:03,＾＾
21:06,＾＾
21:10,＾＾；
21:23,^^
21:29,こんぼらー
21:31,^^
21:37,インテリなハルｗ
21:37,センス○
21:38,インテリなハルww
21:39,インテリなハルｗ
21:47,보라님 하이용!!!
